City,Dollar_sign,Nbr_reviews,Rating,RestName
"San Francisco, CA","$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$$,$$,$,$,$$,$$,$$,$$$,$$,$$,$$$",560 557 555 553 552 549 544 542 542 541 540 540 539 537 537 532 531 524 523 506 498 497 496 492 490 486 484 483 477 475,"3.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3 star rating,3.5 star rating,3.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3 star rating,4 star rating,2.5 star rating,3.5 star rating,3.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,4.5 star rating","Park Gyros,Caffe Macaroni,Bambino’s Ristorante,Allegro Romano,Tratto,California Pizza Kitchen- San Francisco,Magic Flute Ristorante,North Beach Pizza,Marrakech Moroccan Restaurant,Roxanne Cafe,Emmy’s Spaghetti Shack,Cafe Mystique,Palio,Gyro King,Zingari Ristorante + Jazz Bar,Fior d’Italia,Sunrise Deli,Acquolina,Amici’s East Coast Pizzeria,Venticello Ristorante,Luigi’s Pizzeria,Alhamra,Baladie Gourmet Cafe,Blue Line Pizza,Golden Gate,Jackson Fillmore Trattoria,Che Fico,Mazzat,Long Bridge Pizza,Kitchen Istanbul"
"San Francisco, CA","$$,$$,$$,$$,$$,$,$$,$,$$$,$$,$,$$,$,$,$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$",661 660 656 653 650 634 631 628 624 624 618 617 615 611 601 592 586 582 582 582 581 580 579 578 578 577 577 576 567 563,"4 star rating,4 star rating,4 star rating,3.5 star rating,3 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3 star rating,4 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating","Bistro Aix,Ragazza,Spiazzo Ristorante,Il Borgo,Pompei’s Grotto,Yumma’s Mediterranean Grill,Lupa Trattoria,Nizario’s Pizza,Terzo,Vega,Arizmendi Bakery,Barzotto,Sam’s,Serrano’s Pizza,Blaze Fast-Fire’d Pizza,Dobbs Ferry Restaurant,Mozzarella Di Bufala Pizzeria,La Mediterranee,La Traviata,Pachino Pizzeria,Pera,Oren’s Hummus,Swiss Louis,Amarena,Roma Antica,The Sausage Factory,Piccolo Forno,Mario’s Bohemian Cigar Store Cafe,Troya,Dunya Bistro"
"San Francisco, CA","$,$$,$$,$$,$$$,$$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$,$$,$$,$$$,$$,$$,$$,$$,$$,$$$",860 857 847 840 834 826 822 809 807 803 799 792 788 773 759 753 740 734 728 714 709 708 707 696 692 681 674 670 668 665,"4 star rating,3.5 star rating,3.5 star rating,3 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4.5 star rating,3.5 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,3.5 star rating,3.5 star rating,4 star rating","Palmyra,Sabella & La Torre,Trattoria Pinocchio,Patxi’s Pizza,North Beach Restaurant,Capurro’s,Capannina,Helmand Palace,Carmel Pizza Company,Capo’s by Tony Gemignani,The Halal Guys,Bursa,Mozzeria,The Pizza Place,Poesia,Caffe Sport,Patxi’s Pizza,Ideale,Saffron 685,Arabian Nights Restaurant,Marcello’s Pizza,Trattoria da Vittorio - San Francisco,Boulettes Larder + Boulibar,Ristorante Milano,Ayola - New Montgomery,Montesacro Pinseria SF,CyBelle’s Front Room,Cafe Tiramisu,Piazza Pellegrini,Sociale"
"San Francisco, CA","$$,$$,$$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$,$$,$$$,$$,$$",91 2809 1088 1088 1069 1066 1036 1030 1028 1020 1020 1013 1009 999 998 983 978 966 961 960 949 943 933 927 922 908 898 898 895 881 871 865 1680,"3.5 star rating,3 star rating,4.5 star rating,3.5 star rating,4 star rating,3.5 star rating,3.5 star rating,4.5 star rating,3.5 star rating,3.5 star rating,4.5 star rating,3 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating","Little Creatures Mission Bay,The Beach Chalet Brewery & Restaurant,La Ciccia,Puccini & Pinetti,Old Jerusalem Restaurant,Original Joe’s Westlake,Local Kitchen & Wine Merchant,Seven Hills,Zante Pizza & Indian Cuisine,Americano,Tuba Authentic Turkish Restaurant,Mason Diner,Firenze by Night Ristorante,Giorgio’s Pizzeria,Locanda,Rocco’s Café,Pazzia Ristorante Italiano,Pasquale’s Pizza,Baonecci Ristorante,Victor’s Pizzeria & Italian Restaurant,Sens Restaurant,Gaspare’s Pizza House & Italian Restaurant,Rose’s Cafe,Patxi’s Pizza,Uva Enoteca,Sodini’s Green Valley Restaurant,The Flying Falafel,Goood Frikin Chicken,The Italian Homemade Company,La Briciola,Credo,a Mano,Mona Lisa Restaurant"
"San Francisco, CA","$$,$$,$$,$$,$$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$,$,$$$,$$$,$$$,$,$$,$$,$,$$,$$,$,$$$$",143 176 1468 1466 1441 1431 1406 1396 1363 1357 1347 1329 1282 1267 1255 1243 1241 1230 1218 1195 1179 1177 1162 1161 1159 1142 1127 1113 1111 1099 1096 1093 314,"4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3 star rating,4 star rating,4.5 star rating,4 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,3 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating","Pesce e Riso,Besharam,The Italian Homemade Company,Pizzeria Delfina - Pacific Heights,Cotogna,Original Joe’s,Piccino,Bella Trattoria,Scala’s Bistro,Trattoria Contadina,Souvla,Nob Hill Cafe,MarketBar,Delarosa,Pizzetta 211,Oasis Grill,Goat Hill Pizza,Seniores Pizza,Uncle Vito’s Pizza,Truly Mediterranean,Submarine Center,Frascati,Fino Ristorante & Bar,54 Mint - Ristorante Italiano,Arinell Pizza,Olive Garden Italian Restaurant,Il Casaro Pizzeria & Mozzarella Bar - North Beach Location,Za Pizza,Franchino,Gialina Pizzeria,Escape From New York Pizza,Acquerello,Trailblazer Tavern"
"San Francisco, CA","$$,$$,$$,$$$,$$$,$$,$$,$$,$,$$,$$,$$$,$$$,$$,$$,$$,$$$,$$,$$$,$$$,$$$,$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$$$,$$",1166 241 4987 4808 4494 3946 3702 3605 3492 3282 2865 2743 2291 2282 2257 2171 2066 2058 2014 1984 1949 1914 1844 1823 1680 1614 1606 1590 1514 1510 1502 1483 707,"4 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,3.5 star rating,4.5 star rating,3 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating","Burma Love,Tilak,Tony’s Pizza Napoletana,Foreign Cinema,Kokkari Estiatorio,The Stinking Rose,Sotto Mare Oysteria & Seafood,Beretta,Golden Boy Pizza,Zero Zero,Little Star Pizza,Zuni Café,Flour + Water,Pizzeria Delfina - Mission,Patxi’s Pizza,È Tutto Qua,Delfina,Little Star Pizza,Perbacco,A16,SPQR,Arizmendi Bakery,Alioto’s Restaurant,Starbelly,Mona Lisa Restaurant,Barbacco,Cioppino’s,Tommaso’s,Calzone’s Restaurant,Delarosa,La Mediterranee,Quince,Iza Ramen Lower Haight"
"Seattle, WA","$,$$,$$,$,$$,$$,$,$$,$$,$,$,$$,$,$$,$$,$$,$,$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$",65 119 251 248 246 245 243 243 239 238 237 236 234 234 233 231 231 231 228 226 226 225 224 222 222 221 221 219 215 213 213 213 254,"4.5 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,2.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4.5 star rating,4.5 star rating,4 star rating,3.5 star rating,4.5 star rating","Oh Boy! Oberto Factory Outlet,Meaty Johnson’s BBQ,Via Tribunali,Niko’s Gyros,Bruciato,Pizzaiolo Woodfired Pizza,Shawarma King,The Diller Room,Spiro’s Pizza & Pasta,Mr. D’s Greek Delicacies,Pagliacci Pizza,Primo Pizza Parlor,MOD Pizza,Intermezzo Carmine,Vince’s Italian Restaurant & Pizzeria,Hopvine Pub,Mawadda Cafe,Holy Cannoli,Cafe Lago,Acropolis Pizza & Pasta,Milano Pizza & Pasta,Aglio e Olio,Mioposto,Ristorante Paradiso,La Medusa,The Olive and Grape,Pasta Nova,Frelard Pizza Company,Aviv Hummus Bar,The Zouave Restaurant,The Ridge,Topolino’s Pizza,Perihelion Brewery"
"Seattle, WA","$$,$,$$,$$,$$,$$,$$,$$,$$$,$$,$,$$,$$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$,$,$$,$$,$$,$$,$$,$$,$$,$$",186 298 295 294 294 289 289 286 286 284 283 283 281 279 277 275 275 273 268 268 267 267 266 265 262 257 256 256 256 255 253 226,"4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,3 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3 star rating,3.5 star rating,4.5 star rating,4.5 star rating,4 star rating","Yen Wor Village,Mi La Cay,Tavolàta,The Pizza Coop & Ale House,Zaucer Pizza,Palermo-Ballard,Big Time Brewing Company,Humble Pie,Andaluca,Taki’s Mad Greek,Mediterranean Mix,Central Cinema,Volterra,That’s Amore! Italian Cafe,Cantinetta Bellevue,Vivi Pizzeria,Carmine’s,Olive Garden Italian Restaurant,Harissa Mediterranean Cuisine,Vios Cafe,Saltoro,Christo’s On Alki,MOD Pizza,Sinbad Express,World Pizza,Yanni’s Greek Restaurant,Olympia Pizza and Spaghetti House III,Artusi,Can-Am Pizza,Dino’s Tomato Pie,Gyro Express Mediterranean Grill,Bar Cotto,Hilltop Ale House"
"Seattle, WA","$$,$$,$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$,$,$,$$,$,$,$$,$",155 664 365 365 363 360 358 355 354 352 351 337 334 333 333 323 322 318 316 314 310 310 306 304 304 300 300 300 299 299 299 298 305,"4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,3 star rating,4 star rating,3.5 star rating,4.5 star rating,3.5 star rating,3.5 star rating,4.5 star rating,4 star rating,3 star rating,4 star rating","Teasome,Pho Viet Anh,The Golden Olive,Cafe Veloce,Cinque Terre Ristorante,Agrodolce,Watershed Pub & Kitchen,The Masonry,Gorgeous George’s Mediterranean Kitchen,Elemental Pizza,Amaro Bistro,Rione XIII,Bar Del Corso,Ballroom,Tutta Bella Neapolitan Pizzeria - Bellevue,Mondello Ristorante Italiano,Cicchetti,Italianissimo Ristorante,Piatti,Flying Squirrel Pizza Co,Mashawi Mediterranean Cuisine,Resonate Brewery + Pizzeria,San Fermo,A Pizza Mart - Downtown,Mioposto,Northlake Tavern & Pizza House,Istanbul Cuisine Cafe,Falafel King,George’s,Eggs & Plants,Gyro Hut,Costa’s Restaurant,Sugar Bakery & Cafe"
"Seattle, WA","$$,$$,$$,$$,$$$$,$$,$$,$$,$,$$,$$,$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$$,$,$$,$$",44 611 483 474 473 473 473 470 469 468 464 454 449 449 445 444 440 440 433 430 424 414 408 400 399 391 389 383 379 373 372 366 360,"3 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating","Dalongyi Hot Pot 大龙燚火锅,Fonte Coffee - Seattle,Bambino’s Pizzeria,Tutta Bella Neapolitan Pizzeria - South Lake Union,Delfino’s Chicago Style Pizza,Cafe Juanita,Ristorante Picolinos,Pizzeria Credo,Pizzeria Pulcinella,Aladdin Gyro-Cery,Windy City Pie,Due’ Cucina Italiana,Shawarmaniac,Ballard Pizza Company,Pomodoro,Cuoco,Il Terrazzo Carmine,Vito’s,Orfeo,Aladdin Falafel Corner,Pasta Bella,Pi Vegan Pizzeria,Palermo Pizza & Pasta,Phoenecia,Stellar Pizza & Ale,La Rustica,Pizza and Pasta Bar,Belltown Pizza,La Fontana Siciliana,Cantinetta,Padria Mediterranean Cafe,Gyros House Mediterranean Grill,India Bistro"
"Seattle, WA","$$,$$,$$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$,$$$$,$$,$$,$$,$$,$$$,$$,$,$$,$$,$,$$,$$,$$,$",104 701 683 671 667 666 655 653 651 632 628 622 613 613 607 589 566 551 540 537 531 523 512 511 498 495 488 486 485 484 484 343,"4.5 star rating,3.5 star rating,4 star rating,3 star rating,3 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating","juisala,Ras Dashen,Osteria la Spiga,Serafina,Buca di Beppo Italian Restaurant,The Rock Wood Fired Pizza,Razzís Pizzería,Tulio,Garlic Crush,Mamma Melina Ristorante + Pizzeria,Stoneburner,Zeeks Pizza,IL Bistro,Il Fornaio,Assaggio Ristorante,MOD Pizza,Via Tribunali - Capitol Hill,Big Mario’s New York Style Pizza,Altura,La Vita E Bella,Delancey,Marrakesh Moroccan Restaurant,Pegasus Pizza,Pasta Freska,Patxi’s Pizza,MOD Pizza,Mediterranean Kitchen,Proletariat Pizza,Eltana,The Pine Box,Veraci Pizza - Ballard,Tutta Bella Neapolitan Pizzeria - Columbia City,Thai Curry Simple"
"Seattle, WA","$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$,$,$$,$$,$$$,$$$,$$,$$,$$,$$$,$$,$$,$$,$,$$,$$,$$,$$$,$",77 167 5046 4105 3915 1846 1701 1532 1366 1358 1277 1190 1154 1127 1110 1027 1020 1016 1016 992 971 964 913 908 856 842 839 823 728 726 714 707 223,"4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,5 star rating","H Bistro,Bodrum Bistro Mediterranean,The Pink Door,Serious Pie,Lola,List,Serious Pie & Biscuit,Von’s 1000 Spirits,Rocco’s,Salumi Artisan Cured Meats,Il Corvo Pasta,DERU Market,Saffron Grill,Barolo Ristorante,Maggiano’s Little Italy,Mr Gyros,Zig Zag Cafe,Petra Bistro,Cascina Spinasse,Tavolàta,Cafe Turko,Mediterranean Kitchen,Italian Family Pizza,How To Cook a Wolf,Bizzarro Italian Cafe,Ristorante Machiavelli,Cedars Restaurant,Hot Mama’s Pizza,Tutta Bella Neapolitan Pizzeria - Wallingford,Talarico’s Pizzeria,Alibi Room,Staple & Fancy,Celine Patisserie"
"Miami, FL","$$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$$,$$,$$$$,$$,$$,$$,$$,$$,$$,$$,$$$",304 245 309 304 303 302 300 300 299 298 295 294 294 293 293 291 287 286 283 283 282 281 278 278 276 276 275 275 273 269 269 268 91,"4.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,3 star rating,4 star rating,3.5 star rating,3.5 star rating,4.5 star rating,3.5 star rating,3 star rating,3.5 star rating,4 star rating,3.5 star rating,3 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,3 star rating,4.5 star rating","MesaMar Seafood Table,Alloy Bistro Gourmet,Two Brothers Pizzeria & Restaurant,Mister O1 - Wynwood,Toscana Divino,Brio Tuscan Grille,Harry’s Pizzeria - Coconut Grove,Cantina 27,Rice Mediterranean Kitchen,LOCAL PIE,Michi’s,Caffe Milano,La Fontana Ristorante,Anthony’s Coal Fired Pizza,Mykonos Greek Restaurant,Sultan Restaurant,Frankie’s Pizza,Layali Miami Lebanese Restaurant & Hookah Lounge,Anthony’s Coal Fired Pizza,Segafredo L’Originale,Gyroville,Il Forno Ristorante,Pelican Restcafe - Temp. CLOSED,Siamo,Cipriani Downtown Miami,Rice Mediterranean Kitchen,Rice House of Kabob,Strada in the Grove,Pieology Pizzeria,Pinch Me Gastrobar & Market,Barmeli 69,Olive Garden Italian Restaurant,Costa Med Bistro + Wine"
"Miami, FL","$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$,$$,$$,$$$,$$$,$$,$$,$$$,$$,$$,$$,$$,$$$,$$,$$,$,$$,$$",466 697 413 410 410 404 400 392 392 391 391 381 379 371 367 367 365 359 358 351 349 340 337 336 333 330 327 325 318 316 316 315 93,"4.5 star rating,4.5 star rating,4.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,3.5 star rating,4 star rating,5 star rating,4 star rating,3.5 star rating,3 star rating,3 star rating,4 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4.5 star rating,3.5 star rating,4 star rating","Biscayne Bay Brewing Company,Pisco Y Nazca Ceviche Gastrobar,Sapore Di Mare,BJ’s Restaurant & Brewhouse,Casa Tua,Ironside Kitchen,Piola - Brickell,Zuuk Mediterranean Kitchen,Mercato Della Pescheria - Miami Beach,Amici’s Trattoria Italiana,Clove Mediterranean Kitchen,Red Carpet Italian,The Brick American Kitchen & Bar,Pizza Rustica,D’Vine,BJ’s Restaurant & Brewhouse,La Locanda,Miami Mediterranean Cuisine,Villa Azur,Caffe Vialetto,Salumeria 104,NOA Cafe,MC Kitchen,Casa Tua Cucina,Soya E Pomodoro,Little Louies Italian Kitchen,George’s Restaurant & Lounge,Sardinia Enoteca Ristorante,Fi’lia,North Italia,A Little Bit of Philly,Villagio,Sala’o Cuban Bar & Pescaderia"
